"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853941546766528643","Tue Nov 05 23:24:43 +0000 2024","450"," Terlebih Indonesia belum memiliki tempat yang baik bagi para penerima LPDP untuk mengembangkan kemampuan yang mereka miliki. Terus tujuannya ngasih beasiswa apa? Ngasih universitas luar negeri tenaga peneliti cuma-cuma? Dosen luar jadi gak perlu cari grant buat gaji","1853941546766528643","","","in","Michuhol-gu, Republic of Korea","12","24","191","https://x.com/ardisatriawan/status/1853941546766528643","170542374","ardisatriawan"
"1852126968839655908","Thu Oct 31 23:14:14 +0000 2024","31","Coba deh sebelum nyap-nyap sotau gajelas buka dulu website lpdp. Pendaan mereka gk cuma buat sekolah ke luar negeri doang. PPG guru itu pendanaannya dari LPDP juga","1852126968839655908","","","in","Earth Kingdom","0","2","8","https://x.com/HippieEarth/status/1852126968839655908","1270909919009443840","HippieEarth"
"1853049330774704323","Sun Nov 03 12:19:23 +0000 2024","42","Clean outfit for office Pretty top atasan cantik buat kuliah ngantor kerja LPDP prilly hujan A Thread https://t.co/hGzUKBSWGl","1853049330774704323","https://pbs.twimg.com/media/GbdairzacAAgUgA.jpg","","in","","0","1","26","https://x.com/MaroonDaily/status/1853049330774704323","1483993284213354496","MaroonDaily"
"1853231951299383722","Mon Nov 04 00:25:03 +0000 2024","12","jd stand point argumennya gimana ini? kok kesimpulannya jd begini? justru lebih sangat mungkin org protes kelakuan pejabat ketimbang protes soal lpdp. malah mungkin ga semua org sepeduli itu sama problematika lpdp dibanding sama kondisi negara yg carut marut begini","1853231951299383722","","","in","Kerberos 🜃⚓","0","0","1","https://x.com/sariebut/status/1853231951299383722","138282392","sariebut"
"1853270266715296081","Mon Nov 04 02:57:18 +0000 2024","2","dari kemarin rameee bgt ceritain yg LPDP tapi gak pulang. aku malah bingung soalnya bnrbnr sama sekali gaada yg aku kenal LPDP dan gak pulang pdhl kayaknya dr cerita org2 adaaa aja wkwk temenku kurang banyak kahh","1853270266715296081","","","in","Indonesia","4","1","0","https://x.com/waitatiri/status/1853270266715296081","71996755","waitatiri"
"1852986875494961284","Sun Nov 03 08:11:12 +0000 2024","260","Aku tuh sadar diri emang mungkin gak bakal pulang jadi sejak awal gak pernah tertarik LPDP. Aku takut kalau nipu-nipu gini tuh ilmu &amp; hasil kerjaku gak berkah buat diri sendiri &amp; keluarga","1852986875494961284","","","in","Indonesia; France","5","4","38","https://x.com/menghanyurkan/status/1852986875494961284","912976516459397120","menghanyurkan"
"1853986852291989589","Wed Nov 06 02:24:45 +0000 2024","3","Nah ges ini contoh mbak2 LPDP yg pulang ke Indo endingnya nganggur &amp; balik lagi kerja utk korporat asing Emang mending belio stay di UK aja dulu biar berkarir di sana. Hitung2 kasih exposure buat Indo jg kan. Nanti kalo daleman Indo udah beres paksa belio pulang xixixi","1853986852291989589","","","in","Indonesia","1","0","1","https://x.com/lilyaquina/status/1853986852291989589","1154001321223000065","lilyaquina"
"1853040851909550116","Sun Nov 03 11:45:41 +0000 2024","76","Ini kan udah jelas diketahui sebelum apply lalu apply dengan sadar terus ingkar gitu apa bedanya sama koruptor? Sama2 MALING duit rakyat.kalo mau di LN for good ya jangan pake LPDP. https://t.co/ukjYVtuc7G","1853040851909550116","https://pbs.twimg.com/media/GbdS08kaMAAh0D2.jpg","","in","","0","0","15","https://x.com/ItsOnlyLs/status/1853040851909550116","131687277","ItsOnlyLs"
"1851488161685180557","Wed Oct 30 04:55:51 +0000 2024","87","USAID TEMAN LPDP menyediakan bootcamp satu bulan GRATIS untuk kamu yang ingin mendaftar beasiswa ke kampus-kampus Amerika Serikat. Langsung daftar di https://t.co/0EHaC4BrEO https://t.co/QkQW7nbBKZ","1851488161685180557","https://pbs.twimg.com/media/GbHOqsgasAACVTQ.jpg","","in","","0","0","18","https://x.com/dvlopmntlst/status/1851488161685180557","1309392624328085504","dvlopmntlst"
"1853022959289372946","Sun Nov 03 10:34:35 +0000 2024","4048","Setuju gak kl nama2 awardee yg melanggar aturan LPDP dicantumkan saja namanya di web @LPDP_RI? Tanpa inisial dan sebutkan pelanggarannya. Biar pembayar pajak gak perlu repot cari2 sndiri &amp; mikir spill nama di medsos bakal melanggar hukum atau tidak. Kayak nama koruptor di web KPK","1853022959289372946","","","in","7.108+9.881≠20.255, sisa kmna?","53","88","1130","https://x.com/JAndrean212/status/1853022959289372946","1499310872052875266","JAndrean212"
